asset_id,subject_type,subject_name,person_role,local_file,asset_kind,creator,license_id,license_url,output_sha256,review_status,rights_notes
person-fallback-h-dhami,person,H Dhami,singer,generated/people/person-fallback-h-dhami.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,8938a8d67d1e8c8dfc5ea2ecddcdd1a1fc35e0b90e345ed5b7bf114d3d0c912b,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-hadiqa-kiani,person,Hadiqa Kiani,singer,generated/people/person-fallback-hadiqa-kiani.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,69b8da74c58ebb3f1fb1c1d483981ecd5d42c27a1b404085f273799878ad0145,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-happy-raikoti,person,Happy Raikoti,singer,generated/people/person-fallback-happy-raikoti.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,61d16fecec882955ec50b0c33ffd8368bec9e9a0d62c4634eca1260e7391786b,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-harjit-harman,person,Harjit Harman,singer,generated/people/person-fallback-harjit-harman.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,fdb5634816498613904ba4f44dbb9aef63f029788cadaa454aa0cec8cd5b5c06,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-himesh-reshammiya,person,Himesh Reshammiya,singer,generated/people/person-fallback-himesh-reshammiya.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,47e1822a5b659acef936ef7ab76961c74086a71c996ba0b715aa7e5705a9e2d1,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-hrithik-roshan,person,Hrithik Roshan,actor,generated/people/person-fallback-hrithik-roshan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,b12b7de18f81aedf866df7ebea19b67b3f956c7db135f19b1cfe850528d78bf1,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-humaira-channa,person,Humaira Channa,singer,generated/people/person-fallback-humaira-channa.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,970fd8cc177cc45ee342c6b637c61e127a052e3c089d9a77a2a932a001bc757c,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-imran-khan,person,Imran Khan,singer,generated/people/person-fallback-imran-khan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,986e17e901733a87ef645784a2606d6a002759f9266d3b7eb0661deb398619a0,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-inayat-hussain-bhatti,person,Inayat Hussain Bhatti,singer,generated/people/person-fallback-inayat-hussain-bhatti.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,2c5b6740e2fac97c2237490c6fbe2346c053f225c744c83f1b8cf43b5d326cdb,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-irrfan-khan,person,Irrfan Khan,actor,generated/people/person-fallback-irrfan-khan.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,2edca0f50b7e8c1e79c1148c8927765548046a33cbf3917c1791adaad29403e7,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
person-fallback-jackie-shroff,person,Jackie Shroff,actor,generated/people/person-fallback-jackie-shroff.png,generated_named_fallback,SKY TV,CC0-1.0,https://creativecommons.org/publicdomain/zero/1.0/,5657af1a0f2beb2e8549890d8cf86684a968d8c2ac5c6fe88e563dd18243bea8,fallback_ready,Original name-and-motif artwork released under CC0; no portrait or third-party image.
